"Total Earmarks in FY08 Appropriations Bills, by Member of Congress",,,,,,
Prepared by Taxpayers for Common Sense (www.taxpayer.net),,,,,,
,,,,,,
Member,Party,State,Solo Earmarks,Solo and With Other Members,"Solo, With Other Members and President",Notes
Turner,R,OH,"$1,516,000","$22,414,100","$22,414,100",
"Udall, Mark",D,CO,$0,"$28,386,000","$183,476,274",
"Udall, Tom",D,NM,"$2,378,500","$48,966,200","$61,845,200",Replaced Meehan
Upton,R,MI,"$735,000","$15,816,600","$15,816,600",
Van Hollen,D,MD,"$1,591,500","$34,681,060","$65,197,060",
Velazquez,D,NY,"$2,960,000","$3,649,000","$3,649,000",
Visclosky,D,IN,"$69,946,200","$113,637,000","$130,084,000",
Walberg,R,MI,"$1,943,000","$16,630,000","$16,630,000",
Walden,R,OR,"$445,000","$21,549,300","$36,309,300",
Walsh,R,NY,"$17,824,500","$52,264,500","$76,064,500",
Walz,D,MN,"$3,557,500","$9,526,500","$36,094,500",
Wamp,R,TN,"$24,578,900","$45,199,400","$79,836,400",
Wasserman Schultz,D,FL,"$7,308,000","$17,902,100","$17,902,100",
Waters,D,CA,"$4,645,000","$8,500,000","$8,500,000",
Watson,D,CA,"$4,447,000","$8,891,000","$8,891,000",
Watt,D,NC,"$2,502,000","$23,812,500","$23,812,500",
Waxman,D,CA,"$4,164,000","$12,901,000","$13,241,000",
Weiner,D,NY,"$5,800,000","$8,598,100","$8,598,100",
Welch,D,VT,"$5,057,000","$37,656,400","$37,656,400",
Weldon,R,FL,"$3,522,000","$12,491,800","$12,491,800",
Weller,R,IL,"$2,178,000","$21,643,400","$21,643,400",
Westmoreland,R,GA,"$483,000","$4,965,000","$4,965,000",
Wexler,D,FL,"$1,952,000","$10,576,000","$18,014,200",One $35M pres earmark cut
Whitfield,R,KY,"$3,022,500","$22,836,500","$229,574,500",
Wicker,R,MS,"$6,962,000","$177,958,500","$177,958,500",
"Wilson, Charlie",D,OH,"$2,921,600","$6,361,600","$6,361,600",
"Wilson, Heather",R,NM,"$4,374,000","$83,076,550","$85,212,550",
"Wilson, Joe",R,SC,"$2,144,500","$20,250,500","$20,250,500",Now in Senate; House successor not yet named
Wittman,R,VA,$0,$0,$0,
Wolf,R,VA,"$2,977,000","$47,571,000","$47,571,000",
Woolsey,D,CA,"$2,880,000","$19,588,600","$28,100,600",
Wu,D,OR,"$1,131,000","$64,812,550","$79,572,550",Replaced Jo Ann Davis
Wynn,D,MD,"$1,867,500","$22,520,640","$110,785,640",
Yarmuth,D,KY,"$8,587,000","$14,298,000","$58,578,000",
"Young, C.W. Bill",R,FL,"$103,840,000","$169,027,000","$172,471,000",
"Young, Don",R,AK,"$4,343,000","$10,295,100","$10,295,100",
,,,,,,
,,,,,,
,,,,,,
Senate,,,,,,
,,,,,,
Akaka,D,HI,"$11,374,920","$169,404,560","$676,762,560",
Alexander,R,TN,"$5,921,000","$124,671,500","$258,606,500",
Allard,R,CO,"$17,550,500","$100,415,000","$556,422,274",
Barrasso,R,WY,"$9,715,000","$12,478,000","$29,728,000",
Baucus,D,MT,"-$35,000","$118,076,520","$152,130,520",
Bayh,D,IN,"$1,442,150","$99,289,000","106,989,000",
Bennett,R,UT,"$33,964,200","$175,037,300","$296,110,300",Replaced Thomas
Biden,D,DE,$0,"$85,545,205","$105,797,205",
Bingaman,D,NM,"$8,884,700","$213,762,190","$446,006,190",
Bond,R,MO,"$128,151,400","$454,531,500","$529,814,300",
Boxer,D,CA,"$5,097,050","$92,218,280","$322,191,660",
Brown,D,OH,"$4,963,130","$110,885,530","$133,034,530",
Brownback,R,KS,"$30,001,051","$87,089,151","$365,604,151",
Bunning,R,KY,"$8,412,200","$23,718,400","$23,718,400",
Burr,R,NC,"$2,821,350","$116,151,550","$829,595,550",
Byrd,D,WV,"$332,702,938","$406,835,938","$493,824,938",
Cantwell,D,WA,"$14,242,000","$160,061,450","$816,616,450 ",
Cardin,D,MD,"$1,921,300","$234,045,060","$580,546,060 ",
Carper,D,DE,"$328,000","$82,440,205","$102,692,205",
Casey,D,PA,"$13,808,330","$215,149,080","$403,126,080",
Chambliss,R,GA,"$2,713,500","$167,014,500","$646,039,500",
Clinton,D,NY,"$98,000","$342,040,455","$1,209,248,755",
Coburn,R,OK,$0,$0,$0,
Cochran,R,MS,"$289,083,500","$836,038,000","$976,565,060",
Coleman,R,MN,"$10,780,000","$172,107,750","$231,841,750",Only diff w/ Schumer co-sponsored nav system study $787K
Collins,R,ME,"$12,100,000","$131,825,000","$137,781,000",
Conrad,D,ND,$0,"$127,496,730","$179,112,730",
Corker,R,TN,$0,"$61,019,000","$163,466,000",
Cornyn,R,TX,"$13,960,000","$154,465,780","$753,971,780",
Craig,R,ID,"$10,581,000","$137,287,000","$149,996,520",
Crapo,R,ID,"$5,833,200","$121,040,700","$150,463,220",
DeMint,R,SC,$0,$0,$0,
Dodd,D,CT,"$1,966,300","$172,420,242","$193,669,242",
Dole,R,NC,"$4,829,000","$147,724,000","$861,168,000 ",
Domenici,R,NM,"$36,080,400","$246,548,890","$599,851,890",
Dorgan,D,ND,"$45,901,000","$175,114,730","$294,626,730",
Durbin,D,IL,"$39,250,300","$342,308,700","$585,865,700",
Ensign,R,NV,"$7,414,000","$103,531,730","$459,068,730",
Enzi,R,WY,"$12,716,600","$42,180,600","$59,430,600",
Feingold,D,WI,$0,$0,$0,
Feinstein,D,CA,"$70,877,080","$295,749,430","$801,216,430",
Graham,R,SC,"$18,738,000","$103,622,000","$269,904,000",
Grassley,R,IA,"$90,471,000","$323,398,520","$366,817,520",
Gregg,R,NH,"$10,626,600","$91,569,600","$93,912,600",
Hagel,R,NE,"$5,684,000","$76,543,000","$102,049,000",
Harkin,D,IA,"$49,404,080","$295,224,200","$321,792,200",
Hatch,R,UT,"$1,398,000","$131,131,800","$241,730,800",
Hutchison,R,TX,"$41,682,400","$254,677,000","$839,158,000",
Inhofe,R,OK,"$71,762,200","$146,137,600","$185,637,600",
Inouye,D,HI,"$229,650,440","$412,912,330","$923,204,330",
Isakson,R,GA,"$686,000","$160,751,500","$636,996,500",
Johnson,D,SD,"$25,499,635","$221,983,585","$291,462,585",
Kennedy,D,MA,"$22,000,000","$197,883,200","$211,247,200",
Kerry,D,MA,"$8,000,000","$183,748,200","$195,143,200",
Klobuchar,D,MN,"$1,232,900","$200,774,250","$235,637,250",
Kohl,D,WI,"$49,103,350","$153,305,700","$193,566,700",
Kyl,R,AZ,"$2,494,000","$92,694,500","$129,122,500",
Landrieu,D,LA,"$103,267,050","$469,565,110","$650,348,110",
Lautenberg,D,NJ,"$1,785,200","$289,543,548","$457,127,683",
Leahy,D,VT,"$58,312,560","$132,335,560","$172,316,560",
Levin,D,MI,"$37,900,000","$324,257,580","$338,128,580",
Lieberman,I,CT,"$1,954,632","$190,167,124","$211,416,124",
Lincoln,D,AR,$0,"$236,855,860","$392,066,860",
Lott,R,MS,"$34,848,000","$310,953,500","$310,953,500",
Lugar,R,IN,"$6,069,200","$130,791,000","$146,363,000",
Martinez,R,FL,"$9,808,000","$128,210,050","$949,213,650",
McCain,R,AZ,$0,$0,$0,No longer in Congress; replaced by Wicker
McCaskill,D,MO,$0,$0,$0,
McConnell,R,KY,"$125,787,000","$184,918,000","$653,039,000",
Menendez,D,NJ,$0,"$289,485,230","$457,069,365",
Mikulski,D,MD,"$19,342,675","$289,449,815","$635,950,815",
Murkowski,R,AK,"$1,305,000","$39,189,600","$63,799,600",
Murray,D,WA,"$140,955,117","$376,358,467","$1,165,530,947",
"Nelson, Ben",D,NE,"$12,775,640","$105,339,640","$130,717,640",
"Nelson, Bill",D,FL,"$28,169,700","$161,150,750","$966,254,750",
Obama,D,IL,"$3,324,520","$98,601,720","$106,473,720",
Pryor,D,AR,$0,"$235,379,860","$390,590,860",
Reed,D,RI,"$48,712,681","$177,205,031","$218,405,031",
Reid,D,NV,"$169,972,740","$305,116,470","$754,582,470",
Roberts,R,KS,"$16,449,600","$53,593,600","$333,058,600",
Rockefeller,D,WV,"$6,200,000","$11,200,000","$11,200,000",
Salazar,D,CO,"$7,364,805","$125,598,710","$586,509,984",
Sanders,I,VT,"$6,562,400","$40,598,400","$40,598,400",
Schumer,D,NY,$0,"$309,258,055","$1,175,679,355",
Sessions,R,AL,"$4,626,000","$213,705,000","$271,065,000",
Shelby,R,AL,"$191,099,800","$427,349,200","$634,983,200",
Smith,R,OR,"$324,000","$151,745,310","$273,029,310",
Snowe,R,ME,"$800,000","$120,525,000","$126,481,000",
Specter,R,PA,"$31,167,900","$218,013,900","$404,022,900",
Stabenow,D,MI,"$2,000,000","$303,170,080","$317,041,080",
Stevens,R,AK,"$387,410,750","$454,878,750","$522,548,750",
Sununu,R,NH,"$1,746,000","$71,322,000","$75,634,000",
Tester,D,MT,"$1,879,070","$111,119,080","$145,173,080",
Thomas,R,WY,"$445,000","$6,870,000","$6,870,000",
Thune,R,SD,"$3,279,328","$168,409,378","$236,277,378",
Vitter,R,LA,"$6,824,400","$233,024,610","$386,793,610",
Voinovich,R,OH,"$18,751,000","$161,940,530","$170,599,530",No longer in Congress; replaced by Barrasso
Warner,R,VA,"$1,000,000","$252,548,760","$702,143,760",
Webb,D,VA,"$7,859,600","$257,281,360","$706,876,360",
Whitehouse,D,RI,$0,"$37,463,050","$37,463,050",
Wicker,R,MS,$0,$0,$0,
Wyden,D,OR,"$534,650","$155,560,460","$276,844,460",
,,,,,,
,,,,,,Replaced Lott; see Wicker's total in House
